length, total #, % loops with cis pro, % loops with cis other
1,935,0.106951871657754,0.427807486631016
2,2121,1.32013201320132,0.235737859500236
3,1840,1.52173913043478,1.25
4,2011,2.28741919443063,0.397812033814023
5,1737,2.99366724237191,0.287852619458837
6,1144,3.32167832167832,0.34965034965035
7,897,5.35117056856187,0.222965440356745
8,685,5.10948905109489,0.291970802919708
9,568,6.16197183098592,0.528169014084507
10,491,6.72097759674134,0.610997963340122
11,415,9.87951807228916,0.72289156626506
12,299,8.69565217391304,1.00334448160535
13,220,7.72727272727273,3.18181818181818
14,225,5.77777777777778,2.22222222222222
15,158,7.59493670886076,0
16,119,9.2436974789916,1.68067226890756
17,98,9.18367346938776,0
18,104,10.5769230769231,0
19,95,6.31578947368421,0
20,64,15.625,3.125
21,65,16.9230769230769,1.53846153846154
22,47,14.8936170212766,0
23,36,11.1111111111111,0
24,48,18.75,2.08333333333333
25,38,15.7894736842105,0
26,21,19.047619047619,0
27,18,11.1111111111111,0
28,31,16.1290322580645,6.45161290322581
29,17,5.88235294117647,0
30,12,16.6666666666667,8.33333333333333
31,10,0,0
32,18,5.55555555555556,0
33,6,16.6666666666667,0
34,13,15.3846153846154,7.69230769230769
35,7,14.2857142857143,0
36,4,0,0
37,5,0,0
38,1,0,0
39,1,0,0
40,2,0,0
41,0,0,0
42,3,0,0
43,1,0,0
44,2,50,0
45,0,0,0
46,1,0,0
47,2,0,0
48,1,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,1,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,1,100,0
58,1,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
